,name,price,status,camera,processor,storage,battery,ram,display
0,Oppo A58x,"39,999",Upcoming,13MP Camera,Dimensity 700 Processor,128GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.56"" 720x1612 pixels Display"
1,Realme 10s,"59,999",Upcoming,50MP Camera,Dimensity 810 Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,8GB Memory (RAM),"6.6"" 1080x2408 pixels Display"
2,Honor 80,"86,999",Upcoming,160 MP Camera,Snapdragon 782G Processor,128GB/256GB/512GB Internal Storage,4800mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.67"" 1080x2400 pixels Display"
3,OnePlus 11,"127,999",Upcoming,50 MP Camera,Snapdragon 8 Gen 2 Processor,128GB/256GB/512GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB/16GB Memory (RAM),"6.7"" 1440x3216 pixels Display"
4,Xiaomi 13,"183,999",Upcoming,50 MP Camera,Snapdragon 8 Gen 2 Processor,128GB/256GB Internal Storage,4500mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.28"" 1080x2400 pixels Display"
5,vivo iQOO 11 Pro,"165,999",Upcoming,50MP Camera,Snapdragon 8 Gen 2 Processor,256GB/512GB Internal Storage,4700mAh Li-Po Battery,8GB/12GB/16GB Memory (RAM),"6.78"" 1440x3200 pixels Display"
6,vivo iQOO Neo7 SE,"70,999",Upcoming,64 MP Camera,Dimensity 8200 Processor,128GB/256GB/512GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB/16GB Memory (RAM),"6.78"" 1080x2400 pixels Display"
7,Motorola Moto G Play (2023),"36,999",Upcoming,16 MP Camera,Helio G37 Processor,32GB Internal Storage,5000mAh Li-Po Battery,3GB Memory (RAM),"6.5"" 720x1600 pixels Display"
8,vivo Y35 5G,"54,999",Upcoming,13 MP Camera,Dimensity 700 Processor,128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB/8GB Memory (RAM),"6.51"" 720x1600 pixels Display"
9,Oppo Find N2 Flip,"199,999",Upcoming,50MP Camera,Dimensity 9000+ Processor,128GB/256GB Internal Storage,4300mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.8"" 1080x2640 pixels Display"
10,Oppo A57e,"29,999",Upcoming,13MP Camera,Helio G35 Processor,64GB Internal Storage,5000mAh Li-Po Battery,4GB Memory (RAM),"6.56"" 720x1612 pixels Display"
11,Infinix Zero Ultra,"99,999",Upcoming,200MP Camera,Dimensity 920 Processor,256GB Internal Storage,4500mAh Li-Po Battery,8GB Memory (RAM),"6.8"" 1080x2400 pixels Display"
12,Xiaomi Redmi Note 11SE,"34,999",Upcoming,48MP Camera,Dimensity 700 Processor,128GB Internal Storage,5000mAh Li-Po Battery,4GB/8GB Memory (RAM),"6.5"" 1080x2400 pixels Display"
13,Xiaomi Redmi Note 12 Pro Plus,"75,999",Upcoming,200MP Camera,Dimensity 1080 Processor,256GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.67"" 1080x2400 pixels Display"
14,Xiaomi Redmi Note 12 Pro,"54,999",Upcoming,50MP Camera,Dimensity 1080 Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB/12GB Memory (RAM),"6.67"" 1080x2400 pixels Display"
15,Xiaomi Redmi Note 12,"38,999",Upcoming,48MP Camera,Snapdragon 4 Gen 1 Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB/8GB Memory (RAM),"6.67"" 1080x2400 pixels Display"
16,Oppo Find N2,"254,999",Upcoming,50MP Camera,Snapdragon 8+ Gen 1 Processor,256GB/512GB Internal Storage,4520mAh Li-Po Battery,8GB/12GB Memory (RAM),"7.1"" 1792x1920 pixels Display"
17,vivo Y02,"24,999",Upcoming,8MP Camera,,32GB Internal Storage,5000mAh Li-Po Battery,3GB Memory (RAM),"6.51"" 720x1600 pixels Display"
18,Samsung Galaxy A14 5G,"54,999",Upcoming,50MP Camera,Exynos Processor,64GB/128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB Memory (RAM),"6.8"" 720x1600 pixels Display"
19,Tecno Pop 5,"13,499",Upcoming,5MP Camera,,16GB/32GB Internal Storage,4000mAh Li-Po Battery,1GB/2GB Memory (RAM),"6.1"" 720x1560 pixels Display"
20,Tecno Pop 5 LTE,"20,999",Upcoming,8MP Camera,Unisoc SC9863A Processor,32GB Internal Storage,5000mAh Li-Po Battery,2GB Memory (RAM),"6.52"" 720x1600 pixels Display"
21,Honor Magic Vs Ultimate,"348,999",Upcoming,54MP Camera,Snapdragon 8+ Gen 1 Processor,512GB Internal Storage,5000mAh Li-Po Battery,16GB Memory (RAM),"7.9"" 1984x2272 pixels Display"
22,Honor Magic Vs,"236,999",Upcoming,54MP Camera,Snapdragon 8+ Gen 1 Processor,256GB/512GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB Memory (RAM),"7.9"" 1984x2272 pixels Display"
23,Samsung Galaxy M34 5G,"59,999",Upcoming,64 MP Camera,Exynos 1200 Processor,128GB/256GB Internal Storage,6000mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.5"" 1080x2400 pixels Display"
24,Xiaomi 13 Pro,"214,999",Upcoming,50 MP Camera,Snapdragon 8 Gen 2 Processor,128GB/256GB/512GB Internal Storage,4800mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.73"" 1440x3200 pixels Display"
25,Honor 80 pro,"109,000",Upcoming,160 MP Camera,Snapdragon 8+ Gen 1 Processor,256GB/512GB Internal Storage,4800mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.78"" 1224x2700 pixels Display"
26,vivo V21s,"83,999",Upcoming,64GB Camera,Dimensity 800U Processor,128GB Internal Storage,4000mAh Li-Po Battery,8GB Memory (RAM),"6.44"" 1080x2404 pixels Display"
27,Infinix Hot 20s,"34,999",Upcoming,50MP Camera,Helio G96 Processor,128GB Internal Storage,5000mAh Li-Po Battery,8GB Memory (RAM),"6.78"" 1080x2460 pixels Display"
28,Infinix HOT 20 Play,"33,999",Upcoming,13MP Camera,Helio G37 Processor,64GB/128GB Internal Storage,6000mAh Li-Po Battery,4GB Memory (RAM),"6.82"" 720x1640 pixels Display"
29,vivo iQOO 11,"109,999",Upcoming,50MP Camera,Snapdragon 8 Gen 2 Processor,128GB/256GB/512GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB/16GB Memory (RAM),"6.78"" 1440x3120 pixels Display"
30,Oppo A98,"73,999",Upcoming,108MP Camera,Snapdragon 695 5G Processor,64GB/128GB/256GB/512GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB/12GB Memory (RAM),"6.7"" 1080x2412 pixels Display"
